bibtex_key;title;author;journal;year;source
 ISI:000371990400014;"Characterizing Online Rumoring Behavior Using Multi-Dimensional
Signatures";Maddock, Jim and Starbird, Kate and Al-Hassani, Haneen and Sandoval, Daniel E. and Orand, Mania and Mason, Robert M.;;2015;ISI Web of Science
 ISI:000371793500105;A Visual Framework for Clustering Memes in Social Media;Dang, Anh and Moh'd, Abidalrahman and Gruzd, Anatoliy and Milios, Evangelos and Minghim, Rosane;;2015;ISI Web of Science
 ISI:000371793500242;"Mining Streaming Tweets for Real-Time Event Credibility Prediction in
Twitter";Zou, Jun and Fekri, Faramarz and McLaughlin, Steven W.;;2015;ISI Web of Science
 ISI:000367681400009;Detecting Social Spammers in Colombia 2014 Presidential Election;Adrian Ceron-Guzman, Jhon and Leon, Elizabeth;;2015;ISI Web of Science
 ISI:000366126400011;A Survey of Twitter Rumor Spreading Simulations;Serrano, Emilio and Iglesias, Carlos A. and Garijo, Mercedes;;2015;ISI Web of Science
 ISI:000412184500020;"Assessing Strategies for Controlling Viral Rumor Propagation on Social
Media - A Simulation Approach";Sathanur, Arun V. and Sui, Miao and Jandhyala, Vikram;;2015;ISI Web of Science
 ISI:000393162800003;"Fake and Spam Messages: Detecting Misinformation during Natural
Disasters on Social Media";Rajdev, Meet and Lee, Kyumin;;2015;ISI Web of Science
 ISI:000347015800025;"To Shut Them Up or to Clarify: Restraining the Spread of Rumors in
Online Social Networks";Wen, Sheng and Jiang, Jiaojiao and Xiang, Yang and Yu, Shui and Zhou, Wanlei and Jia, Weijia;IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS;2014;ISI Web of Science
 ISI:000364428900005;"Multiple Account Identity Deception Detection in Social Media Using
Nonverbal Behavior";Tsikerdekis, Michail and Zeadally, Sherali;IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY;2014;ISI Web of Science
 ISI:000361692300027;"An Annotated Bibliographical Survey on Cyber Intelligence for Cyber
Intelligence Officers";Yucel, Cagatay and Koltuksuz, Ahmet;;2014;ISI Web of Science
 ISI:000354705300035;A Study of Rumor Spreading with Epidemic Model Based on Network Topology;Meng, Dawei and Wan, Lizhi and Zhang, Lei;;2014;ISI Web of Science
 ISI:000354861400040;"Optimal Containment of Misinformation in Social Media: A Scenario-Based
Approach";Song, Yongjia and Dinh, Thang N.;;2014;ISI Web of Science
 ISI:000392846600095;Media Coverage and Stock Return: An Impulse Response Analysis;Wang, Kuei-Yuan and Chen, Chien-Kuo and Wei, Hsiao-Chi;;2014;ISI Web of Science
20062810000341;Multi-lingual detection of terrorist content on the Web;Last, Mark and Markov, Alex and Kandel, Abraham;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2006;El Compendex
20183105644136;Proceedings - 2017 International Conference on Engineering and MIS, ICEMIS 2017;;Proceedings - 2017 International Conference on Engineering and MIS, ICEMIS 2017;2018;El Compendex
20161502223102;Dynamics of multi-campaign propagation in online social networks;Thejaswi, M. and Vijayaraghavan, Sriniketh and Das, Avinash and Thilagam, P. Santhi;Proceedings of the 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2015;2015;El Compendex
20162702570993;A heuristic method of identifying key microbloggers;Huang, Lidong and Wang, Wenxian and Chen, Xiaozhou and Chen, Junhua;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2016;El Compendex
20183105635937;Proceedings of 2017 International Conference on Information Management and Technology, ICIMTech 2017;;Proceedings of 2017 International Conference on Information Management and Technology, ICIMTech 2017;2018;El Compendex
20180504695776;Proceedings of the 2017 17th International Conference on Computational Science and Its Applications, ICCSA 2017;;Proceedings of the 2017 17th International Conference on Computational Science and Its Applications, ICCSA 2017;2017;El Compendex
20181605023237;A Hybrid Approach for Detecting Automated Spammers in Twitter;Fazil, Mohd and Abulaish, Muhammad;IEEE Transactions on Information Forensics and Security;2018;El Compendex
20164402964925;Factuality drift assessment by lexical markers in resolved rumors;Lendvai, Piroska and Reichel, Uwe D. and Declerck, Thierry;CEUR Workshop Proceedings;2016;El Compendex
20171103449418;Proceedings - 2016 3rd European Network Intelligence Conference, ENIC 2016;;Proceedings - 2016 3rd European Network Intelligence Conference, ENIC 2016;2016;El Compendex
20144700234670;Accurately detecting trolls in Slashdot Zoo via decluttering;Kumar, Srijan and Spezzano, Francesca and Subrahmanian, V.S.;ASONAM 2014 - Proceedings of the 2014 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining;2014;El Compendex
20175004518874;Proceedings of the 9th International Conference on Language Resources and Evaluation, LREC 2014;;Proceedings of the 9th International Conference on Language Resources and Evaluation, LREC 2014;2014;El Compendex
20174704427677;Estimating the origin of diffusion in complex networks with limited observations;Xu, Shuaishuai and Zhou, Yinzuo and Zhang, Zike;Communications in Computer and Information Science;2017;El Compendex
20174404320858;Identifying source of an information in complex networks with limited observation nodes;Lu, Xindai and Yao, Yiyang and Zhou, Yinzuo;Chinese Control Conference, CCC;2017;El Compendex
20151300677927;Detecting rumors through modeling information propagation networks in a social media environment;Liu, Yang and Xu, Songhua and Tourassi, Georgia;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2015;El Compendex
20164202917692;Detecting rumors through modeling information propagation networks in a social media environment;Liu, Yang and Xu, Songhua;IEEE Transactions on Computational Social Systems;2016;El Compendex
20160902024514;Social Media Data Aggregation and Mining for Internet-Scale Customer Relationship Management;Wan, Stephen and Paris, Cecile and Georgakopoulos, DImitrios;Proceedings - 2015 IEEE 16th International Conference on Information Reuse and Integration, IRI 2015;2015;El Compendex
20153601247727;False rumors detection on Sina Weibo by propagation structures;Wu, Ke and Yang, Song and Zhu, Kenny Q.;Proceedings - International Conference on Data Engineering;2015;El Compendex
20174104269075;Implementation of emotional features on satire detection;Thu, Pyae Phyo and New, Nwe;Proceedings - 18th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2017;2017;El Compendex
2004528748774;Cognitive hacking and intelligence and security informatics;Thompson, Paul;Proceedings of SPIE - The International Society for Optical Engineering;2004;El Compendex
20181204917089;Conspiracy talk on social media: Collective sensemaking during a public health crisis;Kou, Yubo and Gui, Xinning and Chen, Yunan and Pine, Kathleen H.;Proceedings of the ACM on Human-Computer Interaction;2017;El Compendex
20164603016401;Proceedings of the International FRUCT Conference on Intelligence, Social Media and Web, ISMW FRUCT 2016;;Proceedings of the International FRUCT Conference on Intelligence, Social Media and Web, ISMW FRUCT 2016;2016;El Compendex
20172803940840;Social cyber forensics approach to study twitters and blogs influence on propaganda campaigns;Al-Khateeb, Samer and Hussain, Muhammad Nihal and Agarwal, Nitin;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2017;El Compendex
20183005588439;Classification of rumors and counter-rumors;Pal, Anjan and Chua, Alton Y. K.;2018 4th International Conference on Information Management, ICIM 2018;2018;El Compendex
20161902343205;A Human-Machine Collaborative System for Identifying Rumors on Twitter;Vosoughi, Soroush and Roy, Deb;Proceedings - 15th IEEE International Conference on Data Mining Workshop, ICDMW 2015;2015;El Compendex
20182205251312;Analyzing spread of influence in social networks for transportation applications;Pimpale, Pritesh and Panangadan, Anand and Abellera, Lourdes V.;2018 IEEE 8th Annual Computing and Communication Workshop and Conference, CCWC 2018;2018;El Compendex
20183005613540;Issues of fact-based information analysis;Sharonova, Natalia and Doroshenko, Anastasiia and Cherednichenko, Olga;CEUR Workshop Proceedings;2018;El Compendex
20180104604246;A holistic approach to influence maximization in social networks: STORIE;Sumith, N. and Annappa, B. and Bhattacharya, Swapan;Applied Soft Computing Journal;2018;El Compendex
20182605384031;Stance-In-Depth Deep Neural Approach to Stance Classification;Rajendran, Gayathri and Chitturi, Bhadrachalam and Poornachandran, Prabaharan;Procedia Computer Science;2018;El Compendex
20174804479289;Evaluating Relevance and Reliability of Twitter Data for Risk Communication;Liu, Xiaohui;ProQuest Dissertations and Theses Global;2017;El Compendex
20123615386575;Information credibility on Twitter;Castillo, Carlos and Mendoza, Marcelo and Poblete, Barbara;Proceedings of the 20th International Conference Companion on World Wide Web, WWW 2011;2011;El Compendex
20130716015561;Information credibility on twitter;Castillo, Carlos and Mendoza, Marcelo and Poblete, Barbara;Proceedings of the 20th International Conference on World Wide Web, WWW 2011;2011;El Compendex
20180704780659;CEUR Workshop Proceedings;;CEUR Workshop Proceedings;2017;El Compendex
20153201122160;Media coverage and stock return: An impulse response analysis;Wang, Kuei-Yuan and Chen, Chien-Kuo and Wei, Hsiao-Chi;Proceedings - 2014 8th International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing, IMIS 2014;2014;El Compendex
20161002071760;A novel SCNDR rumor propagation model on online social networks;Hong, Weijun and Gao, Zhipeng and Hao, Yuwen and Li, Xiaoxue;2015 IEEE International Conference on Consumer Electronics - Taiwan, ICCE-TW 2015;2015;El Compendex
20163902854370;Content representation for microblog rumor detection;Ma, Ben and Lin, Dazhen and Cao, Donglin;Advances in Intelligent Systems and Computing;2017;El Compendex
20150500476454;Analysis of Rumor Spreading in Communities Based on Modified SIR Model in Microblog;Liu, Jie and Niu, Kai and He, Zhiqiang and Lin, Jiaru;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2014;El Compendex
20160301805697;Challenges in the use of social media data for the next generation analyst;Grace, Rob and Leskovich, Robert;Proceedings of SPIE - The International Society for Optical Engineering;2015;El Compendex
20174104257559;Provenance-based rumor detection;Duong, Chi Thang and Nguyen, Quoc Viet Hung and Wang, Sen and Stantic, Bela;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2017;El Compendex
20173104008486;Early detection of deception and aggressiveness using profile-based representations;Escalante, Hugo Jair and Villatoro-Tello, Esau and Garza, Sara E. and Lopez-Monroy, A. Pastor and Montes-y-Gomez, Manuel and Villasenor-Pineda, Luis;Expert Systems with Applications;2017;El Compendex
20170803372679;Information diffusion analysis of rumor dynamics over a social-interaction based model;Wang, De and Musaev, Aibek and Pu, Calton;Proceedings - 2016 IEEE 2nd International Conference on Collaboration and Internet Computing, IEEE CIC 2016;2016;El Compendex
20180604773566;Multimodal detection of fake social media use through a fusion of classification and pairwise ranking systems;Agrawal, Taruna and Gupta, Rahul and Narayanan, Shrikanth;25th European Signal Processing Conference, EUSIPCO 2017;2017;El Compendex
20174704420661;Rumor source detection under querying with untruthful answers;Choi, Jaeyoung and Moon, Sangwoo and Woo, Jiin and Son, Kyunghwan and Shin, Jinwoo and Yi, Yung;Proceedings - IEEE INFOCOM;2017;El Compendex
20164903099736;Extreme user and political rumor detection on twitter;Chang, Cheng and Zhang, Yihong and Szabo, Claudia and Sheng, Quan Z.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2016;El Compendex
20153201112748;A novel approach for detecting multiple rumor sources in networks with partial observations;Zhang, Zhao and Xu, Wen and Wu, Weili and Du, Ding-Zhu;Journal of Combinatorial Optimization;2017;El Compendex
20164202926127;Astroturfing detection in social media: a binary n-grambased approach;Peng, Jian and Detchon, Sam and Choo, Kim-Kwang Raymond and Ashman, Helen;Concurrency Computation;2017;El Compendex
20183005586310;Automatic JPEG Grid Detection with Controlled False Alarms, and Its Image Forensic Applications;Nikoukhah, Tina and Grompone Von Gioi, Rafael and Colom, Miguel and Morel, Jean-Michel;Proceedings - IEEE 1st Conference on Multimedia Information Processing and Retrieval, MIPR 2018;2018;El Compendex
20180204641587;Detecting journalistic relevance on social media a two-case study using automatic surrogate features;Figueira, alvaro and Guimaraes, Nuno;Proceedings of the 2017 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2017;2017;El Compendex
20172303742834;Credibility in social media: opinions, news, and health informationa survey;Viviani, Marco and Pasi, Gabriella;Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery;2017;El Compendex
20144600202141;#FluxFlow: Visual analysis of anomalous information spreading on social media;Zhao, Jian and Cao, Nan and Wen, Zhen and Song, Yale and Lin, Yu-Ru and Collins, Christopher;IEEE Transactions on Visualization and Computer Graphics;2014;El Compendex
20152801030252;News Credibility Evaluation on Microblog with a Hierarchical Propagation Model;Jin, Zhiwei and Cao, Juan and Jiang, Yu-Gang and Zhang, Yongdong;Proceedings - IEEE International Conference on Data Mining, ICDM;2015;El Compendex
20144900298504;Stemming the flow of information in a social network;srinivasan, Balaji and Kumar, Akshay and Gupta, Shubham and Gupta, Khushi;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2014;El Compendex
20174104254801;Rumors detection on social media during crisis management;Laudy, Claire;Proceedings of the International ISCRAM Conference;2017;El Compendex
20183105631627;AbuSniff: Automatic detection and defenses against abusive facebook friends;Talukder, Sajedul and Carbunar, Bogdan;12th International AAAI Conference on Web and Social Media, ICWSM 2018;2018;El Compendex
20140717293933;Clustering memes in social media;Ferrara, Emilio and JafariAsbagh, Mohsen and Varol, Onur and Qazvinian, Vahed and Menczer, Filippo and Flammini, Alessandro;Proceedings of the 2013 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2013;2013;El Compendex
20181905138572;Feature analysis for fake review detection through supervised classification;Fontanarava, Julien and Pasi, Gabriella and Viviani, Marco;Proceedings - 2017 International Conference on Data Science and Advanced Analytics, DSAA 2017;2018;El Compendex
20170703346186;A multi-criteria decision making approach for the assessment of information credibility in social media;Viviani, Marco and Pasi, Gabriella;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2017;El Compendex
20162102409902;Enquiring minds: Early detection of rumors in social media from enquiry posts;Zhao, Zhe and Resnick, Paul and Mei, Qiaozhu;WWW 2015 - Proceedings of the 24th International Conference on World Wide Web;2015;El Compendex
20183105647352;A cultural exploration of the social media manipulators;Sample, Char and McAlaney, John and Bakdash, Jonathan and Thackray, Helen;European Conference on Information Warfare and Security, ECCWS;2018;El Compendex
20161902347624;Automatic detection of rumoured tweets and finding its origin;Sahana, V.P. and Pias, Alwyn R. and Shastri, Richa and Mandloi, Shweta;2015 International Conference on Computing and Network Communications, CoCoNet 2015;2015;El Compendex
20161302169043;An approach to relevancy detection: Contributions to the automatic detection of relevance in social networks;Figueira, Alvaro and Sandim, Miguel and Fortuna, Paula;Advances in Intelligent Systems and Computing;2016;El Compendex
20174904492944;Community Deception or: How to Stop Fearing Community Detection Algorithms;Fionda, Valeria and Pirro, Giuseppe;IEEE Transactions on Knowledge and Data Engineering;2018;El Compendex
20161502208823;Rumor detection in twitter: An analysis in retrospect;Dayani, Raveena and Chhabra, Nikita and Kadian, Taruna and Kaushal, Rishabh;International Symposium on Advanced Networks and Telecommunication Systems, ANTS;2016;El Compendex
20181705050466;Simple open stance classification for rumour analysis;Aker, Ahmet and Derczynski, Leon and Bontcheva, Kalina;International Conference Recent Advances in Natural Language Processing, RANLP;2017;El Compendex
20150400448774;Optimal containment of misinformation in social media: A scenario-based approach;Song, Yongjia and Dinh, Thang N.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2014;El Compendex
20173003986711;Using soft-hard fusion for misinformation detection and pattern of life analysis in OSINT;Levchuk, Georgiy and Shabarekh, Charlotte;Proceedings of SPIE - The International Society for Optical Engineering;2017;El Compendex
20161202117332;"Misleading online content: Recognizing clickbait as ""false news""";Chen, Yimin and Conroy, Niall J. and Rubin, Victoria L.;WMDD 2015 - Proceedings of the ACM Workshop on Multimodal Deception Detection, co-located with ICMI 2015;2015;El Compendex
20154501497579;Exploiting the topology property of social network for rumor detection;Yang, Yekang and Niu, Kai and He, Zhiqiang;Proceedings of the 2015 12th International Joint Conference on Computer Science and Software Engineering, JCSSE 2015;2015;El Compendex
20183105620343;Study of hoax news detection using naive bayes classifier in Indonesian language;Pratiwi, Inggrid Yanuar Risca and Asmara, Rosa Andrie and Rahutomo, Faisal;Proceedings of the 11th International Conference on Information and Communication Technology and System, ICTS 2017;2018;El Compendex
NoAuthor2017;ACM International Conference Proceeding Series;;ACM International Conference Proceeding Series;2017;Scopus
Wang2017312;Information diffusion analysis of rumor dynamics over a social-interaction based model;Wang, D. and Musaev, A. and Pu, C.;Proceedings - 2016 IEEE 2nd International Conference on Collaboration and Internet Computing, IEEE CIC 2016;2017;Scopus
20171703595642;On rumor source detection and its experimental verification on Twitter;Krol, Dariusz and Winiewska, Karolina;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2017;El Compendex
20181304938385;Equilibria of rumor propagation: Deterministic and network approaches;Gaurav, Kumar and Ghosh, Sayantari and Bhattacharya, Saumik and Singh, Yatindra Nath;IEEE Region 10 Annual International Conference, Proceedings/TENCON;2017;El Compendex
20124715680780;Containment of misinformation spread in online social networks;Nguyen, Nam P. and Yan, Guanhua and Thai, My T. and Eidenbenz, Stephan;"Proceedings of the 4th Annual&nbsp;ACM&nbsp;Web&nbsp;Science&nbsp;Conference, WebSci'12";2012;El Compendex
20172303743492;Towards development of FOPL based tweet summarization technique in a post disaster scenario: From survey to solution;Mondal, Tamal and Pramanik, Prithviraj and Bhattacharya, Indrajit and Saha, Arka and Boral, Naiwrita;2017 51st Annual Conference on Information Sciences and Systems, CISS 2017;2017;El Compendex
20174404331332;Does KFC sell rat? Analysis of tweets in the wake of a rumor outbreak;Pal, Anjan and Chua, Alton Y.K. and Goh, Dion Hoe-Lian;Aslib Journal of Information Management;2017;El Compendex
20151900815158;Contextual binding and deception detection;Chen, Jim Q.;CEUR Workshop Proceedings;2015;El Compendex
20183105647360;The legal position of social media intermediaries in addressing fake news;Watney, Murdoch;European Conference on Information Warfare and Security, ECCWS;2018;El Compendex
20174604410275;Some like it Hoax: Automated fake news detection in social networks;Tacchini, Eugenio and Ballarin, Gabriele and Della Vedova, Marco L. and Moret, Stefano and de Alfaro, Luca;CEUR Workshop Proceedings;2017;El Compendex
20183005586319;Understanding User Profiles on Social Media for Fake News Detection;Shu, Kai and Wang, Suhang and Liu, Huan;Proceedings - IEEE 1st Conference on Multimedia Information Processing and Retrieval, MIPR 2018;2018;El Compendex
20181004854957;A computational approach for examining the roots and spreading patterns of fake news: Evolution tree analysis;Jang, S. Mo and Geng, Tieming and Queenie Li, Jo-Yun and Xia, Ruofan and Huang, Chin-Tser and Kim, Hwalbin and Tang, Jijun;Computers in Human Behavior;2018;El Compendex
20183005613316;Higher education student behaviors in spreading fake news on social media: A case of LINE group;Chandra, Yakob Utama and Surjandy and Ernawaty;Proceedings of 2017 International Conference on Information Management and Technology, ICIMTech 2017;2018;El Compendex
20180604778592;Automatically Identifying Fake News in Popular Twitter Threads;Buntain, Cody and Golbeck, Jennifer;Proceedings - 2nd IEEE International Conference on Smart Cloud, SmartCloud 2017;2017;El Compendex
20180104609933;Fake news detection using naive Bayes classifier;Granik, Mykhailo and Mesyura, Volodymyr;2017 IEEE 1st Ukraine Conference on Electrical and Computer Engineering, UKRCON 2017 - Proceedings;2017;El Compendex
20151000602228;Effects of source and content on the retransmission of rumor, information and misinformation on social media;Liu, Fang and Burton-Jones, Andrew and Xu, Dongming;Proceedings of the 24th Australasian Conference on Information Systems;2013;El Compendex
20180704780655;Towards an understanding of fake news;Ozgobek, Ozlem and Gulla, Jon Atle;CEUR Workshop Proceedings;2017;El Compendex
20180604761493;A mathematical model of news propagation on online social network and a control strategy for rumor spreading;Dhar, Joydip and Jain, Ankur and K. Gupta, Vijay;Social Network Analysis and Mining;2016;El Compendex
20165303204243;Towards automated real-time detection of misinformation on Twitter;Jain, Suchita and Sharma, Vanya and Kaushal, Rishabh;2016 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2016;2016;El Compendex
20173804187477;Exploiting context for rumour detection in social media;Zubiaga, Arkaitz and Liakata, Maria and Procter, Rob;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2017;El Compendex
20181805117217;Spread of misinformation online: Simulation impact of social media newsgroups;Safieddine, Fadi and Dordevic, Milan and Pourghomi, Pardis;Proceedings of Computing Conference 2017;2018;El Compendex
20083711527390;Following linguistic footprints: Automatic deception detection in online communication;Zhou, Lina and Zhang, Dongsong;Communications of the ACM;2008;El Compendex
20161802314858;Emerging rumor identification for social media with hot topic detection;Yang, Zhifan and Wang, Chao and Zhang, Fan and Zhang, Ying and Zhang, Haiwei;Proceedings - 2015 12th Web Information System and Application Conference, WISA 2015;2015;El Compendex
20173304050490;Automatic detection of multiple account deception in social media;Yamak, Zaher and Saunier, Julien and Vercouter, Laurent;Web Intelligence;2017;El Compendex
20160501864325;Assessing strategies for controlling viral rumor propagation on social media - A simulation approach;Sathanur, Arun V. and Sui, Miao and Jandhyala, Vikram;2015 IEEE International Symposium on Technologies for Homeland Security, HST 2015;2015;El Compendex
 ISI:000433380700004;"Who Spread That Rumor: Finding the Source of Information in Large Online
Social Networks With Probabilistically Varying Internode Relationship
Strengths";Louni, Alireza and Subbalakshmi, K. P.;IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS;2018;ISI Web of Science
 ISI:000430172700019;"Humanitarian health computing using artificial intelligence and social
media: A narrative literature review";Fernandez-Luque, Luis and Imran, Muhammad;INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS;2018;ISI Web of Science
 ISI:000429763600010;"SocksCatch: Automatic detection and grouping of sockpuppets in social
media";Yamak, Zaher and Saunier, Julien and Vercouter, Laurent;KNOWLEDGE-BASED SYSTEMS;2018;ISI Web of Science
 ISI:000435403400057;Framework for Rumors Detection in Social Media;Moin, Rehana and Zahoor-ur-Rehman and Mahmood, Khalid and Alzahrani, Mohammad Eid and Saleem, Muhammad Qaiser;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;2018;ISI Web of Science
 ISI:000430162100041;A holistic approach to influence maximization in social networks: STORIE;Sumith, N. and Annappa, B. and Bhattacharya, Swapan;APPLIED SOFT COMPUTING;2018;ISI Web of Science
 ISI:000428437900011;Maximizing misinformation restriction within time and budget constraints;"Pham, Canh V. and Thai, My T. and Duong, Hieu V. and Bui, Bao Q. and
Hoang, Huan X.";JOURNAL OF COMBINATORIAL OPTIMIZATION;2018;ISI Web of Science
 ISI:000437907800003;Implementation of Emotional Features on Satire Detection;Pyae Phyo Thu and Than Nwe Aung;INTERNATIONAL JOURNAL OF NETWORKED AND DISTRIBUTED COMPUTING;2018;ISI Web of Science
 ISI:000436175600013;"Rumor Detection on Twitter using Extracted Patterns from Conversational
Tree";Yavary, Arefeh and Sajedi, Hedieh;;2018;ISI Web of Science
 ISI:000432280400005;Leveraging Financial Social Media Data for Corporate Fraud Detection;Dong, Wei and Liao, Shaoyi and Zhang, Zhongju;JOURNAL OF MANAGEMENT INFORMATION SYSTEMS;2018;ISI Web of Science
 ISI:000428586400002;"Detection of financial rumors using big data analytics: the case of the
Bombay Stock Exchange";Majumdar, Adrija and Bose, Indranil;JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE;2018;ISI Web of Science
 ISI:000405370300008;Towards Detecting Compromised Accounts on Social Networks;"Egele, Manuel and Stringhini, Gianluca and Kruegel, Christopher and
Vigna, Giovanni";IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING;2017;ISI Web of Science
 ISI:000401538100004;Nonlinear Dynamics of Information Diffusion in Social Networks;Matsubara, Yasuko and Sakurai, Yasushi and Prakash, B. Aditya and Li, Lei and Faloutsos, Christos;ACM TRANSACTIONS ON THE WEB;2017;ISI Web of Science
